Unnamed: 0,power_chiller,Energy_2,flow_chiller,Energy_1,t_out,t_chiller,Energy_3,Equip,light,temperature:drybulb,occ,Energy_4,energy_total
3391,374110.7,1756506.2,168.07915,172299.47,26.133333,12.0,188351.83,0.9312485,0.70453554,23.999897,0.9654407,118336.4,2235493.9
3392,376159.5,1767213.4,168.07915,173308.94,26.4,12.0,189988.62,0.9312485,0.70453554,23.999825,0.9654407,120079.05,2250590.01
3393,379049.4,1783443.6,168.07915,174841.12,26.666666,12.0,192229.64,0.9312485,0.70453554,23.999746,0.9654407,121663.63,2272177.99
3394,382303.72,1801765.9,168.07915,176593.1,26.933332,12.0,194657.72,0.9312485,0.70453554,23.999687,0.9654407,122845.54,2295862.2600000002
3395,384813.72,1815229.4,168.07915,177869.28,27.2,12.0,196549.69,0.9312485,0.70453554,23.999647,0.9654407,123680.64,2313329.0100000002
3396,387170.34,1827826.6,168.07915,179031.73,27.383333,12.0,198415.27,0.9312485,0.70453554,23.999628,0.9654407,124411.5,2329685.1
3397,389240.88,1838631.9,168.07915,179993.98,27.566668,12.0,200137.55,0.9312485,0.70453554,23.999617,0.9654407,125035.805,2343799.235
3398,391455.4,1850772.1,168.07915,181074.02,27.75,12.0,202067.73,0.9312485,0.70453554,23.999609,0.9654407,125591.57,2359505.42
3399,392922.34,1857831.6,168.07915,181662.8,27.933332,12.0,203455.61,0.9312485,0.70453554,23.999605,0.9654407,126114.11,2369064.12
3400,393959.16,1862817.4,168.07915,182060.81,28.116667,12.0,204613.3,0.9312485,0.70453554,23.999601,0.9654407,126599.266,2376090.7759999996
3401,394724.0,1866506.0,168.07915,182381.52,28.3,12.0,205508.53,0.9312485,0.70453554,23.999601,0.9654407,127066.78,2381462.8299999996
3402,395115.53,1867799.5,168.07915,182466.31,28.3,12.0,206002.47,0.9312485,0.70453554,23.999598,0.9654407,127507.37,2383775.6500000004
3403,395270.2,1867933.0,168.07915,182493.11,28.3,12.0,206154.3,0.9312485,0.70453554,23.999596,0.9654407,127923.07,2384503.4799999995
3404,394851.47,1864635.8,168.07915,182197.69,28.3,12.0,205675.4,0.9312485,0.70453554,23.999594,0.9654407,128327.28,2380836.17
3405,394747.25,1864183.0,168.07915,182173.6,28.3,12.0,205269.48,0.9312485,0.70453554,23.999594,0.9654407,128718.52,2380344.6
3406,394634.72,1863556.4,168.07915,182131.6,28.3,12.0,204642.08,0.9312485,0.70453554,23.999594,0.9654407,129089.875,2379419.955
3407,394397.53,1862260.1,168.07915,182029.03,28.3,12.0,203826.69,0.9312485,0.70453554,23.999596,0.9654407,129470.36,2377586.18
3408,395083.88,1863927.6,168.07915,182213.05,28.216667,12.0,203289.36,0.9312485,0.70453554,23.99961,0.9654407,130370.67,2379800.68
3409,396054.97,1865910.0,168.07915,182429.66,28.133333,12.0,202809.77,0.9312485,0.70453554,23.99963,0.9654407,131367.44,2382516.8699999996
3410,397002.56,1867354.1,168.07915,182594.6,28.05,12.0,202339.23,0.9312485,0.70453554,23.999647,0.9654407,132530.78,2384818.71
3411,398408.3,1871760.9,168.07915,183029.38,27.966667,12.0,202277.05,0.9312485,0.70453554,23.999666,0.9654407,133926.05,2390993.3799999994
3412,400093.62,1877606.0,168.07915,183593.8,27.883333,12.0,202456.75,0.9312485,0.70453554,24.000727,0.9654407,135290.73,2398947.28
3413,401743.2,1883304.5,168.07915,184176.84,27.8,12.0,202692.4,0.9312485,0.70453554,24.005394,0.9654407,135857.9,2406031.64
3414,349472.06,1565372.5,168.07915,152825.67,27.8,12.0,168916.38,0.51736027,0.39140865,23.99958,0.30487603,85083.3,1972197.8499999999
3415,342225.9,1561652.5,168.07915,152619.78,27.8,12.0,168858.66,0.51736027,0.39140865,23.999125,0.30487603,83353.12,1966484.06
3416,340999.9,1556028.2,168.07915,152163.03,27.8,12.0,168407.31,0.51736027,0.39140865,23.999205,0.30487603,82352.305,1958950.845
3417,336730.94,1527754.1,168.07915,149526.28,27.8,12.0,165328.64,0.51736027,0.39140865,23.999327,0.30487603,81225.61,1923834.6300000001
3418,331469.78,1495127.4,168.07915,146429.05,27.8,12.0,161786.1,0.51736027,0.39140865,23.999432,0.30487603,80348.5,1883691.05
3419,326806.2,1467185.9,168.07915,143723.0,27.8,12.0,158799.48,0.51736027,0.39140865,23.999512,0.30487603,79684.64,1849393.0199999998
3420,304832.28,1319361.6,168.07915,128909.875,27.616667,12.0,143024.16,0.41388822,0.2348452,23.895418,0.10162534,70186.3,1661481.935
3421,297107.6,1286450.0,168.07915,125731.74,27.433332,12.0,139674.2,0.41388822,0.2348452,23.787342,0.10162534,69122.164,1620978.104
3422,290997.03,1250124.0,168.07915,122240.78,27.25,12.0,135874.06,0.41388822,0.2348452,23.732151,0.10162534,68052.55,1576291.3900000001
3423,286905.44,1229565.8,168.07915,120095.54,27.066668,12.0,133432.1,0.41388822,0.2348452,23.717537,0.10162534,67113.29,1550206.7300000002
3424,282959.72,1207698.2,168.07915,117906.95,26.883333,12.0,130905.72,0.41388822,0.2348452,23.715122,0.10162534,66292.84,1522803.71
3425,279435.53,1188927.5,168.07915,116125.266,26.7,12.0,128699.414,0.41388822,0.2348452,23.710459,0.10162534,65536.266,1499288.4460000002
3426,277397.62,1178225.6,168.07915,115116.234,26.6,12.0,127326.27,0.41388822,0.2348452,23.702864,0.10162534,65281.664,1485949.7680000002
3427,275810.5,1168772.1,168.07915,114218.39,26.5,12.0,126099.8,0.41388822,0.2348452,23.69512,0.10162534,65048.72,1474139.01
3428,274514.3,1161111.5,168.07915,113487.63,26.4,12.0,125085.98,0.41388822,0.2348452,23.68856,0.10162534,64838.234,1464523.3439999998
3429,273407.84,1154567.9,168.07915,112860.055,26.3,12.0,124226.336,0.41388822,0.2348452,23.682974,0.10162534,64648.543,1456302.8339999998
3430,272437.75,1148849.9,168.07915,112310.984,26.2,12.0,123491.516,0.41388822,0.2348452,23.677794,0.10162534,64475.59,1449127.99
3431,271571.88,1143777.1,168.07915,111824.31,26.1,12.0,122853.95,0.41388822,0.2348452,23.67273,0.10162534,64315.234,1442770.594
3432,267059.75,1106518.9,168.07915,108101.79,26.1,12.0,119002.07,0.41388822,0.15656346,23.590132,0.10162534,64473.805,1398096.565
3433,266609.88,1106005.0,168.07915,108062.24,26.1,12.0,118892.25,0.41388822,0.15656346,23.511965,0.10162534,64499.79,1397459.28
3434,266740.3,1105473.6,168.07915,108020.69,26.1,12.0,118782.24,0.41388822,0.15656346,23.475937,0.10162534,64544.05,1396820.58
3435,266891.2,1104837.5,168.07915,107967.266,26.1,12.0,118654.15,0.41388822,0.15656346,23.468332,0.10162534,64674.938,1396133.854
3436,267069.47,1104343.9,168.07915,107924.98,26.1,12.0,118537.5,0.41388822,0.15656346,23.467466,0.10162534,64865.77,1395672.15
3437,267295.5,1104185.2,168.07915,107912.85,26.1,12.0,118454.71,0.41388822,0.15656346,23.463974,0.10162534,65075.41,1395628.17
3438,267114.38,1102186.5,168.07915,107714.21,26.1,12.0,118185.76,0.41388822,0.15656346,23.457827,0.10162534,65055.48,1393141.95
3439,266797.5,1099847.9,168.07915,107480.25,26.1,12.0,117878.945,0.41388822,0.15656346,23.451315,0.10162534,65033.96,1390241.055
3440,266555.28,1098275.8,168.07915,107323.24,26.1,12.0,117644.79,0.41388822,0.15656346,23.445528,0.10162534,65013.684,1388257.514
3441,266319.22,1096673.8,168.07915,107164.3,26.1,12.0,117401.336,0.41388822,0.15656346,23.440363,0.10162534,64996.023,1386235.459
3442,266064.78,1094931.2,168.07915,106992.45,26.1,12.0,117137.44,0.41388822,0.15656346,23.435434,0.10162534,64980.535,1384041.6249999998
3443,265792.47,1093073.1,168.07915,106809.695,26.1,12.0,116857.3,0.41388822,0.15656346,23.430552,0.10162534,64966.375,1381706.4700000002
3444,273554.47,985095.75,168.07915,95885.44,25.633333,12.0,105787.43,0.41388822,0.07828173,24.080141,0.05081267,0.0,1186768.6199999999
3445,246730.95,1060455.1,168.07915,103227.25,25.166666,12.0,113353.6,0.41388822,0.07828173,24.460175,0.05081267,0.0,1277035.9500000002
3446,250309.28,1007053.9,168.07915,97988.0,24.7,12.0,107920.14,0.41388822,0.07828173,23.840767,0.05081267,62659.223,1275621.2629999998
3447,250620.81,1027480.4,168.07915,99879.39,24.233334,12.0,109820.125,0.41388822,0.07828173,23.345686,0.05081267,60297.965,1297477.8800000001
3448,249189.66,1017006.2,168.07915,98857.68,23.766666,12.0,108675.016,0.41388822,0.07828173,23.178543,0.05081267,58857.062,1283395.9579999999
3449,246667.16,1007481.75,168.07915,97928.586,23.3,12.0,107581.99,0.41388822,0.07828173,23.184399,0.05081267,57418.152,1270410.478
3450,35204.785,0.0,168.07915,0.0,23.3,12.0,0.0,0.41388822,0.039140865,23.15254,0.05081267,57943.426,57943.426
3451,239778.23,966638.75,168.07915,93978.92,23.3,12.0,103534.7,0.41388822,0.039140865,23.13692,0.05081267,58689.883,1222842.2529999998
3452,241296.75,1041266.7,168.07915,101976.73,23.3,12.0,107749.59,0.41388822,0.039140865,23.81433,0.05081267,0.0,1250993.02
3453,252020.67,1030760.1,168.07915,100365.23,23.3,12.0,109358.03,0.41388822,0.039140865,24.44146,0.05081267,117622.35,1358105.7100000002
3454,254815.31,1054984.4,168.07915,102557.9,23.3,12.0,112207.07,0.41388822,0.039140865,23.789946,0.05081267,62798.73,1332548.0999999999
3455,254620.9,1046067.8,168.07915,101828.53,23.3,12.0,110631.41,0.41388822,0.039140865,23.562544,0.05081267,62776.19,1321303.93
3456,253410.55,1015814.8,168.07915,98893.734,23.3,12.0,107554.32,0.31041616,0.039140865,23.283323,0.0,63141.035,1285403.889
3457,37984.24,0.0,168.07915,0.0,23.3,12.0,0.0,0.31041616,0.039140865,23.140152,0.0,63122.457,63122.457
3458,253723.14,1028088.94,168.07915,100163.71,23.3,12.0,109021.87,0.31041616,0.039140865,23.061222,0.0,63718.348,1300992.868
3459,249241.94,1034078.8,168.07915,100803.08,23.3,12.0,109488.96,0.31041616,0.039140865,23.685549,0.0,0.0,1244370.84
3460,250332.56,1042993.3,168.07915,101716.81,23.3,12.0,110214.61,0.31041616,0.039140865,24.01519,0.0,0.0,1254924.7200000002
